marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
nissan,300zx,300zx-3-0-v6-biturbo-1991,,1991,300.0,5,Manual,Indefinido,Urbano
nissan,300zx,300zx-3-0-v6-biturbo-1992,,1992,300.0,5,Manual,Indefinido,Urbano
nissan,300zx,300zx-3-0-v6-biturbo-1993,,1993,300.0,5,Manual,Indefinido,Urbano
nissan,300zx,300zx-3-0-v6-biturbo-1994,,1994,300.0,5,Manual,Indefinido,Urbano
nissan,350z,350z-3-5-v6-2004,,2004,280.0,5,Manual,Indefinido,Urbano
nissan,350z,350z-3-5-v6-2005,,2005,280.0,5,Manual,Indefinido,Urbano
nissan,350z,350z-3-5-v6-2006,,2006,280.0,5,Manual,Indefinido,Urbano
nissan,350z,350z-3-5-v6-2008,,2008,312.0,5,Manual,Indefinido,Urbano
nissan,370z,370z-3-7-v6-2010,,2010,328.0,5,Manual,Indefinido,Urbano
nissan,370z,370z-3-7-v6-2012,,2012,328.0,5,Manual,Indefinido,Urbano
nissan,370z,370z-3-7-v6-2014,,2014,328.0,5,Manual,Indefinido,Urbano
nissan,Ariya,ariya-engage-2025,,2025,,5,Auto,Indefinido,Urbano
nissan,Ariya,ariya-engage-e-4orce-2025,,2025,,5,Auto,Indefinido,Rural
nissan,D21,d21-2-7-4x2-cd-1993,,1993,79.0,5,Manual,Indefinido,Urbano
nissan,D21,d21-king-cab-2-7-4x2-1993,,1993,79.0,5,Manual,Indefinido,Urbano
nissan,D21,d21-2-7-4x2-cd-1994,,1994,79.0,5,Manual,Indefinido,Urbano
nissan,D21,d21-2-7-4x2-cs-1994,,1994,79.0,5,Manual,Indefinido,Urbano
nissan,D21,d21-2-7-4x4-cd-1994,,1994,79.0,5,Manual,Indefinido,Rural
nissan,D21,d21-2-7-4x4-cs-1994,,1994,79.0,5,Manual,Indefinido,Rural
nissan,D21,d21-king-cab-2-7-4x2-1994,,1994,79.0,5,Manual,Indefinido,Urbano
nissan,D21,d21-2-7-4x2-cd-1995,,1995,79.0,5,Manual,Indefinido,Urbano
nissan,D21,d21-2-7-4x2-cs-1995,,1995,79.0,5,Manual,Indefinido,Urbano
nissan,D21,d21-2-7-4x4-cd-1995,,1995,79.0,5,Manual,Indefinido,Rural
nissan,D21,d21-2-7-4x4-cs-1995,,1995,79.0,5,Manual,Indefinido,Rural
nissan,D21,d21-king-cab-2-7-4x2-1995,,1995,79.0,5,Manual,Indefinido,Urbano
nissan,D21,d21-2-7-4x2-cd-1996,,1996,79.0,5,Manual,Indefinido,Urbano
nissan,D21,d21-2-7-4x2-cs-1996,,1996,79.0,5,Manual,Indefinido,Urbano
nissan,D21,d21-2-7-4x4-cd-1996,,1996,79.0,5,Manual,Indefinido,Rural
nissan,D21,d21-2-7-4x4-cs-1996,,1996,79.0,5,Manual,Indefinido,Rural
nissan,D21,d21-2-7-4x4-cd-1997,,1997,79.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-ax-3-2-cd-1998,,1998,103.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-ax-3-2-cd-1999,,1999,103.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-ax-3-2-cd-2000,,2000,103.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-ax-2-5-turbo-4x4-2001,,2001,104.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-ax-2-5-turbo-4x4-2002,,2002,104.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-se-2-8-turbo-4x2-2003,,2003,132.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-se-2-8-turbo-4x4-2003,,2003,132.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-xe-2-8-turbo-4x2-cd-2003,,2003,132.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-xe-2-8-turbo-4x2-cs-2003,,2003,132.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-xe-titanium-2-8-turbo-4x2-cd-2003,,2003,132.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-se-2-8-turbo-4x2-2004,,2004,132.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-se-2-8-turbo-4x4-2004,,2004,132.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-se-strike-2-8-turbo-4x4-2004,,2004,132.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-xe-2-8-turbo-4x2-cd-2004,,2004,132.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-se-2-8-turbo-4x4-2005,,2005,132.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-se-serrana-2-8-turbo-4x4-2005,,2005,132.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-xe-2-8-turbo-4x2-cd-2005,,2005,132.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-xe-2-8-turbo-4x2-cs-2005,,2005,132.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-xe-2-8-turbo-4x4-cd-2005,,2005,132.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-se-2-8-turbo-4x2-2006,,2006,140.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-se-2-8-turbo-4x4-2006,,2006,140.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-xe-2-8-turbo-4x2-cd-2006,,2006,140.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-xe-2-8-turbo-4x4-cd-2006,,2006,140.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-xe-attack-2-8-turbo-2006,,2006,140.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-le-2-5-turbo-4x4-at-2007,,2007,174.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-se-2-8-turbo-4x2-2007,,2007,140.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-se-2-8-turbo-4x4-2007,,2007,140.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-se-serrana-2-8-turbo-4x4-2007,,2007,140.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-xe-2-8-turbo-4x2-cd-2007,,2007,140.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-xe-2-8-turbo-4x2-cs-2007,,2007,140.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-xe-2-8-turbo-4x4-cd-2007,,2007,140.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-se-2-8-turbo-4x4-2008,,2008,140.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-sel-2-5-turbo-4x4-2008,,2008,172.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-sel-2-5-turbo-4x4-at-2008,,2008,172.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-xe-2-8-turbo-4x2-cd-2008,,2008,140.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-xe-2-8-turbo-4x4-cd-2008,,2008,140.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-le-2-5-turbo-4x4-2009,,2009,,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-le-2-5-turbo-4x4-at-2009,,2009,172.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-se-2-5-turbo-4x2-2009,,2009,,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-se-2-5-turbo-4x4-2009,,2009,172.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-xe-2-5-turbo-4x2-2009,,2009,144.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-le-2-5-turbo-4x4-2010,,2010,172.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-le-2-5-turbo-4x4-at-2010,,2010,172.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-se-2-5-turbo-4x2-2010,,2010,144.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-xe-2-5-turbo-4x4-2010,,2010,144.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-le-2-5-turbo-4x4-2011,,2011,172.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-le-2-5-turbo-4x4-at-2011,,2011,172.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-se-2-5-turbo-4x2-2011,,2011,144.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-se-2-5-turbo-4x4-2011,,2011,144.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-xe-2-5-turbo-4x2-2011,,2011,144.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-xe-2-5-turbo-4x4-2011,,2011,144.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-le-2-5-turbo-4x4-2012,,2012,172.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-le-2-5-turbo-4x4-at-2012,,2012,172.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-le-attack-2-5-turbo-4x4-at-2012,,2012,172.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-se-2-5-turbo-4x2-2012,,2012,144.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-se-2-5-turbo-4x4-2012,,2012,144.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-se-attack-2-5-turbo-4x2-2012,,2012,144.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-se-attack-2-5-turbo-4x4-2012,,2012,190.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-xe-2-5-turbo-4x2-2012,,2012,144.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-xe-2-5-turbo-4x4-2012,,2012,144.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-le-2-5-turbo-4x4-2013,,2013,190.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-le-2-5-turbo-4x4-at-2013,,2013,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-le-attack-2-5-turbo-4x4-at-2013,,2013,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-se-attack-2-5-turbo-4x2-2013,,2013,163.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-se-attack-2-5-turbo-4x4-2013,,2013,190.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-sl-2-5-turbo-4x4-at-2013,,2013,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-sv-attack-2-5-turbo-4x4-2013,,2013,190.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-xe-2-5-turbo-4x2-2013,,2013,163.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-xe-2-5-turbo-4x4-2013,,2013,190.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-platinum-2-5-4x4-at-2014,,2014,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-s-2-5-turbo-4x2-2014,,2014,163.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-s-2-5-turbo-4x4-2014,,2014,190.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-sl-2-5-turbo-4x4-at-2014,,2014,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-sv-attack-2-5-turbo-4x2-2014,,2014,163.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-sv-attack-2-5-turbo-4x4-2014,,2014,190.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-s-2-5-turbo-4x2-2015,,2015,163.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-s-2-5-turbo-4x4-2015,,2015,190.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-sl-2-5-turbo-4x4-at-2015,,2015,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-sv-attack-2-5-turbo-4x2-2015,,2015,163.0,5,Manual,Indefinido,Urbano
nissan,Frontier,frontier-sv-attack-2-5-turbo-4x4-2015,,2015,190.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-sv-attack-2-5-turbo-4x4-at-2015,,2015,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-s-2-5-turbo-4x4-2016,,2016,190.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-sl-2-5-turbo-4x4-at-2016,,2016,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-sv-attack-2-5-turbo-4x4-2016,,2016,190.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-sv-attack-2-5-turbo-4x4-at-2016,,2016,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-le-2-3-turbo-4x4-at-2017,,2017,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-le-2-3-turbo-4x4-at-2018,,2018,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-se-2-3-turbo-4x4-at-2018,,2018,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-attack-2-3-turbo-4x4-at-2019,,2019,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-le-2-3-turbo-4x4-at-2019,,2019,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-s-2-3-turbo-4x4-2019,,2019,160.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-se-2-3-at-2019,,2019,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-xe-2-3-turbo-4x4-at-2019,,2019,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-attack-2-3-turbo-4x4-at-2020,,2020,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-le-2-3-turbo-4x4-at-2020,,2020,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-s-2-3-turbo-4x4-2020,,2020,160.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-xe-2-3-turbo-4x4-at-2020,,2020,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-attack-2-3-turbo-4x4-at-2021,,2021,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-le-2-3-turbo-4x4-at-2021,,2021,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-s-2-3-turbo-4x4-2021,,2021,160.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-xe-2-3-turbo-4x4-at-2021,,2021,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-attack-2-3-turbo-4x4-at-2022,,2022,,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-le-2-3-turbo-4x4-at-2022,,2022,,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-s-2-3-turbo-4x4-2022,,2022,,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-x-gear-2-3-turbo-4x4-at-2022,,2022,,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-xe-2-3-turbo-4x4-at-2022,,2022,,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-attack-2-3-turbo-4x4-at-2023,,2023,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-platinum-2-3-turbo-4x4-at-2023,,2023,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-pro-4x-2-3-turbo-4x4-at-2023,,2023,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-s-2-3-turbo-4x4-2023,,2023,163.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-se-2-3-turbo-4x4-at-2023,,2023,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-xe-2-3-turbo-4x4-at-2023,,2023,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-attack-2-3-at-2024,,2024,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-platinum-2-3-at-2024,,2024,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-pro-4x-2-3-at-2024,,2024,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-s-2-3-2024,,2024,163.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-se-2-3-at-2024,,2024,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-xe-2-3-at-2024,,2024,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-attack-2-3-at-2025,,2025,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-platinum-2-3-at-2025,,2025,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-pro-4x-2-3-at-2025,,2025,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-s-2-3-2025,,2025,163.0,5,Manual,Indefinido,Rural
nissan,Frontier,frontier-se-2-3-at-2025,,2025,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-xe-2-3-at-2025,,2025,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-attack-2-3-2026,,2026,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-platinum-2-3-2026,,2026,190.0,5,Auto,Indefinido,Rural
nissan,Frontier,frontier-pro-4x-2-3-2026,,2026,190.0,5,Auto,Indefinido,Rural
nissan,Gt-r,gt-r-3-8-v6-biturbo-2009,,2009,480.0,5,Auto,Indefinido,Rural
nissan,Gt-r,gt-r-3-8-v6-biturbo-2010,,2010,480.0,5,Auto,Indefinido,Rural
nissan,Gt-r,gt-r-3-8-v6-biturbo-2011,,2011,480.0,5,Auto,Indefinido,Rural
nissan,Gt-r,gt-r-3-8-v6-biturbo-2012,,2012,550.0,5,Auto,Indefinido,Rural
nissan,Gt-r,gt-r-3-8-v6-biturbo-2013,,2013,550.0,5,Auto,Indefinido,Rural
nissan,Gt-r,gt-r-3-8-v6-biturbo-2014,,2014,550.0,5,Auto,Indefinido,Rural
nissan,Gt-r,gt-r-nismo-3-8-v6-biturbo-2015,,2015,608.0,5,Auto,Indefinido,Rural
nissan,Gt-r,gt-r-premium-3-8-v6-biturbo-2015,,2015,550.0,5,Auto,Indefinido,Rural
nissan,Gt-r,gt-r-premium-3-8-v6-biturbo-2016,,2016,550.0,5,Auto,Indefinido,Rural
nissan,Gt-r,gt-r-nismo-3-8-v6-biturbo-2017,,2017,608.0,5,Auto,Indefinido,Rural
nissan,Gt-r,gt-r-premium-3-8-v6-biturbo-2017,,2017,572.0,5,Auto,Indefinido,Rural
nissan,Gt-r,gt-r-premium-3-8-v6-biturbo-2019,,2019,572.0,5,Auto,Indefinido,Rural
nissan,Kait,kait-active-1-6-2026,,2026,,5,Auto,Indefinido,Urbano
nissan,Kait,kait-advance-plus-1-6-2026,,2026,,5,Auto,Indefinido,Urbano
nissan,Kait,kait-exclusive-1-6-2026,,2026,,5,Auto,Indefinido,Urbano
nissan,Kait,kait-sense-plus-1-6-2026,,2026,,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-rio-2016-1-6-at-2017,,2016,114.0,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-sl-1-6-at-2017,,2017,114.0,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-sv-limited-1-6-at-2017,,2017,114.0,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-s-1-6-2018,,2018,114.0,5,Manual,Indefinido,Urbano
nissan,Kicks,kicks-s-1-6-at-2018,,2018,114.0,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-s-direct-1-6-at-pcd-2018,,2018,114.0,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-sl-1-6-at-2018,,2018,114.0,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-sv-1-6-2018,,2018,,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-sv-1-6-at-2018,,2018,114.0,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-s-1-6-2019,,2019,114.0,5,Manual,Indefinido,Urbano
nissan,Kicks,kicks-s-1-6-at-2019,,2019,,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-s-direct-1-6-at-pcd-2019,,2019,114.0,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-sl-1-6-at-2019,,2019,114.0,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-sv-1-6-at-2019,,2019,114.0,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-uefa-champions-league-1-6-at-2019,,2019,,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-s-1-6-2020,,2020,,5,Manual,Indefinido,Urbano
nissan,Kicks,kicks-s-1-6-at-2020,,2020,,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-s-direct-1-6-at-pcd-2020,,2020,,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-sl-1-6-at-2020,,2020,,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-special-edition-1-6-2020,,2020,,5,Manual,Indefinido,Urbano
nissan,Kicks,kicks-special-edition-1-6-at-2020,,2020,,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-sv-1-6-at-2020,,2020,,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-uefa-champions-league-1-6-at-2020,,2020,,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-active-1-6-at-pcd-2021,,2021,,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-s-1-6-2021,,2021,114.0,5,Manual,Indefinido,Urbano
nissan,Kicks,kicks-s-1-6-at-2021,,2021,,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-sl-1-6-at-2021,,2021,114.0,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-sv-1-6-at-2021,,2021,,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-uefa-champions-league-1-6-at-2021,,2021,,5,Auto,Indefinido,Urbano
nissan,Kicks,kicks-active-1-6-at-pcd-2022,,2022,,5,Auto,Indefinido,Urbano
