marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acionam_do_comando,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__variacao_do_comando,geral__acoplamento,geral__cambio,geral__codigo_do_cambio,geral__marchas,geral__quantidade_de_marchas,geral__tracao,geral__altura,geral__bitola_dianteira,geral__bitola_traseira,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__reboque_com_freio,geral__reboque_sem_freio,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__coeficiente_de_arrasto_cx,geral__assistencia,geral__diametro_de_giro,geral__diametro_minimo_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__altura_minima_do_solo,geral__estepe,geral__regime_potencia_max,geral__regime_torque_max,geral__cilindrada_unitaria,geral__deslocamento,geral__rotacao_maxima,geral__tuchos,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__potencia,geral__torque,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__autonomia_eletrica,geral__capacidade_da_bateria,geral__consumo_eletrico,geral__potencia_combinada,geral__torque_combinado,geral__veloc_max_modo_elet,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano,geral__potencia_de_recarga,geral__pesopotencia_sistema,geral__pesotorque_sistema,geral__autonomia,geral__angulo_central,geral__angulo_de_entrada,geral__angulo_de_saida,geral__frenagem_1000_kmh,geral__inclinacao_lateral_max,geral__rampa_maxima,geral__travessia_de_agua,geral__inclinacao_lateral_maxima,geral__velocidade_maxima_em_modo_eletrico,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__portamalas_6_lugares
bmw,116i,116i,116i-1-6-turbo-2012,116i-1-6-turbo-2012,https://www.fichacompleta.com.br/carros/bmw/116i-1-6-turbo-2012,2026-06-18T14:58:38.501758,Bmw 116i 1.6 Turbo 2012,"9,1 s",210 km/h,Corrente,Injeção direta,Turbocompressor,1598 cm³,4 em linha,N13B16,Duplo no cabeçote,"85,8 mm",77 mm,Longitudinal,Dianteiro,"10,2 kg/cv","61,8 kg/kgfm","85,1 cv/litro",136 cv,"10,5:1",4400 rpm,1350 rpm,"14,0 kgfm/litro","22,4 kgfm",4,Admissão e escape,Conversor de torque,Automático,ZF 8HP,8,8,Traseira,1421 mm,1535 mm,1569 mm,530 kg,4324 mm,2690 mm,1765 mm,1385 kg,360 litros,1200 kg,650 kg,52 litros,107 mm,Disco ventilado,Disco sólido,"2,14 m²","0,663 m²","0,31","0,31",Eletro-hidráulica,"10,9 m","10,9 m","Indep., McPherson",Mola helicoidal,"Indep., multibraço",572 km,437 km,11 km/l,"8,4 km/l",140 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,116i,116i,116i-1-6-turbo-2013,116i-1-6-turbo-2013,https://www.fichacompleta.com.br/carros/bmw/116i-1-6-turbo-2013,2026-06-18T14:58:41.139194,Bmw 116i 1.6 Turbo 2013,"9,1 s",210 km/h,,Injeção direta,Turbocompressor,1598 cm³,4 em linha,N13B16,"Duplo no cabeçote, corrente","85,8 mm",77 mm,Longitudinal,Dianteiro,"10,2 kg/cv","61,8 kg/kgfm","85,1 cv/litro",136 cv a 4400 rpm,"10,5:1",,,"14,0 kgfm/litro","22,4 kgfm a 1350 rpm",4,Admissão e escape,Conversor de torque,Automático,ZF 8HP,,8,Traseira,1421 mm,1535 mm,1569 mm,530 kg,4324 mm,2690 mm,1765 mm,1385 kg,360 litros,1200 kg,650 kg,52 litros,107 mm,Disco ventilado,Disco sólido,"2,14 m²","0,663 m²",,"0,31",Eletro-hidráulica,,"10,9 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",572 km,437 km,11 km/l,"8,4 km/l",140 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,116i,116i,116i-1-6-turbo-2014,116i-1-6-turbo-2014,https://www.fichacompleta.com.br/carros/bmw/116i-1-6-turbo-2014,2026-06-18T14:58:45.907745,Bmw 116i 1.6 Turbo 2014,"9,1 s",210 km/h,,Injeção direta,Turbocompressor,1598 cm³,4 em linha,N13B16,"Duplo no cabeçote, corrente","85,8 mm",77 mm,Longitudinal,Dianteiro,"10,2 kg/cv","61,8 kg/kgfm","85,1 cv/litro",136 cv a 4400 rpm,"10,5:1",,,"14,0 kgfm/litro","22,4 kgfm a 1350 rpm",4,Admissão e escape,Conversor de torque,Automático,ZF 8HP,,8,Traseira,1421 mm,1535 mm,1569 mm,530 kg,4324 mm,2690 mm,1765 mm,1385 kg,360 litros,1200 kg,650 kg,52 litros,107 mm,Disco ventilado,Disco sólido,"2,14 m²","0,663 m²",,"0,31",Eletro-hidráulica,,"10,9 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",572 km,437 km,11 km/l,"8,4 km/l",140 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,116i,116i,116i-1-6-turbo-2015,116i-1-6-turbo-2015,https://www.fichacompleta.com.br/carros/bmw/116i-1-6-turbo-2015,2026-06-18T14:58:48.849558,Bmw 116i 1.6 Turbo 2015,"9,1 s",210 km/h,,Injeção direta,Turbocompressor,1598 cm³,4 em linha,N13B16,"Duplo no cabeçote, corrente","85,8 mm",77 mm,Longitudinal,Dianteiro,"10,2 kg/cv","61,8 kg/kgfm","85,1 cv/litro",136 cv a 4400 rpm,"10,5:1",,,"14,0 kgfm/litro","22,4 kgfm a 1350 rpm",4,Admissão e escape,Conversor de torque,Automático,ZF 8HP,,8,Traseira,1421 mm,1535 mm,1569 mm,530 kg,4324 mm,2690 mm,1765 mm,1385 kg,360 litros,1200 kg,650 kg,52 litros,107 mm,Disco ventilado,Disco sólido,"2,14 m²","0,663 m²",,"0,31",Eletro-hidráulica,,"10,9 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",572 km,437 km,11 km/l,"8,4 km/l",140 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,118i,118i,118i-2-0-at-2010,118i-2-0-at-2010,https://www.fichacompleta.com.br/carros/bmw/118i-2-0-at-2010,2026-06-18T14:59:08.342034,Bmw 118i 2.0 AT 2010,"10,1 s",204 km/h,Corrente,Injeção multiponto,Natural,1995 cm³,4 em linha,N46B20U2,Duplo no cabeçote,90 mm,84 mm,Longitudinal,Dianteiro,"9,6 kg/cv","70,7 kg/kgfm","68,2 cv/litro",136 cv,"10,5:1",5750 rpm,3250 rpm,"9,2 kgfm/litro","18,4 kgfm",4,Admissão e escape,Conversor de torque,Automático,,6,6,Traseira,1421 mm,1484 mm,1497 mm,500 kg,4239 mm,2660 mm,1748 mm,1300 kg,330 litros,,,53 litros,113 mm,Disco ventilado,Disco ventilado,"2,11 m²","0,654 m²","0,31","0,31",Eletro-hidráulica,"10,7 m","10,7 m","Indep., McPherson",Mola helicoidal,"Indep., multibraço",668 km,477 km,"12,6 km/l",9 km/l,145 mm,Kit de reparo e enchimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,118i,118i,118i-2-0-at-2011,118i-2-0-at-2011,https://www.fichacompleta.com.br/carros/bmw/118i-2-0-at-2011,2026-06-18T14:59:13.366441,Bmw 118i 2.0 AT 2011,"10,1 s",204 km/h,Corrente,Injeção multiponto,Natural,1995 cm³,4 em linha,N46B20U2,Duplo no cabeçote,90 mm,84 mm,Longitudinal,Dianteiro,"9,6 kg/cv","70,7 kg/kgfm","68,2 cv/litro",136 cv,"10,5:1",,,"9,2 kgfm/litro","18,4 kgfm",4,Admissão e escape,Conversor de torque,Automático,,6,,Traseira,1421 mm,1484 mm,1497 mm,500 kg,4239 mm,2660 mm,1748 mm,1300 kg,330 litros,,,53 litros,113 mm,Disco ventilado,Disco ventilado,"2,11 m²","0,654 m²","0,31",,Eletro-hidráulica,"10,7 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",668 km,477 km,"12,6 km/l",9 km/l,145 mm,Kit de reparo e enchimento,5750 rpm,3250 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,118i,118i,118i-2-0-at-2011-gasolina,118i-2-0-at-2011-gasolina,https://www.fichacompleta.com.br/carros/bmw/118i-2-0-at-2011-gasolina,2026-06-18T14:59:18.097827,Bmw 118i 2.0 AT 2011,"10,1 s",204 km/h,Corrente,Injeção multiponto,Natural,,4 em linha,N46B20U2,Duplo no cabeçote,90 mm,84 mm,Longitudinal,Dianteiro,"9,49 kg/cv","70,1 kg/kgfm","68,2 cv/litro",136 cv,"10,5:1",,,"9,2 kgfm/litro","18,4 kgfm",4,Admissão e escape,Conversor de torque,Automático,ZF 6HP,6,,Traseira,1421 mm,1484 mm,1497 mm,500 kg,4239 mm,2660 mm,1748 mm,1290 kg,330 litros,,,53 litros,113 mm,Disco ventilado,Disco ventilado,"2,11 m²","0,633 m²","0,3",,Eletro-hidráulica,"10,7 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",668 km,477 km,"12,6 km/l",9 km/l,145 mm,Kit de reparo,5750 rpm,3250 rpm,499 cm³,1995 cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,118i,118i,118i-1-6-turbo-2012,118i-1-6-turbo-2012,https://www.fichacompleta.com.br/carros/bmw/118i-1-6-turbo-2012,2026-06-18T14:59:21.854541,Bmw 118i 1.6 Turbo 2012,"7,5 s",222 km/h,Corrente,Injeção direta,Turbocompressor,1598 cm³,4 em linha,N13B16,Duplo no cabeçote,"85,8 mm",77 mm,Longitudinal,Dianteiro,"8,2 kg/cv","54,5 kg/kgfm","106,4 cv/litro",170 cv,"10,5:1",4800 rpm,1500 rpm,"16,0 kgfm/litro","25,5 kgfm",4,Admissão e escape,Conversor de torque,Automático,ZF 8HP,8,8,Traseira,1421 mm,1535 mm,1569 mm,530 kg,4324 mm,2690 mm,1765 mm,1390 kg,360 litros,1200 kg,670 kg,52 litros,103 mm,Disco ventilado,Disco sólido,"2,14 m²","0,685 m²","0,32","0,32",Eletro-hidráulica,"10,9 m","10,9 m","Indep., McPherson",Mola helicoidal,"Indep., multibraço",567 km,432 km,"10,9 km/l","8,3 km/l",140 mm,Kit de reparo e enchimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,118i,118i,118i-2-0-at-2012,118i-2-0-at-2012,https://www.fichacompleta.com.br/carros/bmw/118i-2-0-at-2012,2026-06-18T14:59:28.135282,Bmw 118i 2.0 AT 2012,"10,1 s",204 km/h,,Injeção multiponto,Natural,1995 cm³,4 em linha,N46B20U2,"Duplo no cabeçote, corrente",90 mm,84 mm,Longitudinal,Dianteiro,"9,6 kg/cv","70,7 kg/kgfm","68,2 cv/litro",136 cv a 5750 rpm,"10,5:1",,,"9,2 kgfm/litro","18,4 kgfm a 3250 rpm",4,Admissão e escape,Conversor de torque,Automático,,,6,Traseira,1421 mm,1484 mm,1497 mm,500 kg,4239 mm,2660 mm,1748 mm,1300 kg,330 litros,,,53 litros,113 mm,Disco ventilado,Disco ventilado,"2,11 m²","0,654 m²",,"0,31",Eletro-hidráulica,,"10,7 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",668 km,477 km,"12,6 km/l",9 km/l,145 mm,Kit de reparo e enchimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,118i,118i,118i-2-0-at-2012-gasolina,118i-2-0-at-2012-gasolina,https://www.fichacompleta.com.br/carros/bmw/118i-2-0-at-2012-gasolina,2026-06-18T14:59:33.164503,Bmw 118i 2.0 AT 2012,"10,1 s",204 km/h,Corrente,Injeção multiponto,Natural,,4 em linha,N46B20U2,Duplo no cabeçote,90 mm,84 mm,Longitudinal,Dianteiro,"9,49 kg/cv","70,1 kg/kgfm","68,2 cv/litro",136 cv,"10,5:1",,,"9,2 kgfm/litro","18,4 kgfm",4,Admissão e escape,Conversor de torque,Automático,ZF 6HP,6,,Traseira,1421 mm,1484 mm,1497 mm,500 kg,4239 mm,2660 mm,1748 mm,1290 kg,330 litros,,,53 litros,113 mm,Disco ventilado,Disco ventilado,"2,11 m²","0,633 m²","0,3",,Eletro-hidráulica,"10,7 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",668 km,477 km,"12,6 km/l",9 km/l,145 mm,Kit de reparo,5750 rpm,3250 rpm,499 cm³,1995 cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,118i,118i,118i-1-6-turbo-2013,118i-1-6-turbo-2013,https://www.fichacompleta.com.br/carros/bmw/118i-1-6-turbo-2013,2026-06-18T14:59:37.960953,Bmw 118i 1.6 Turbo 2013,"7,5 s",222 km/h,,Injeção direta,Turbocompressor,1598 cm³,4 em linha,N13B16,"Duplo no cabeçote, corrente","85,8 mm",77 mm,Longitudinal,Dianteiro,"8,2 kg/cv","54,5 kg/kgfm","106,4 cv/litro",170 cv a 4800 rpm,"10,5:1",,,"16,0 kgfm/litro","25,5 kgfm a 1500 rpm",4,Admissão e escape,Conversor de torque,Automático,ZF 8HP,,8,Traseira,1421 mm,1535 mm,1569 mm,530 kg,4324 mm,2690 mm,1765 mm,1390 kg,360 litros,1200 kg,670 kg,52 litros,103 mm,Disco ventilado,Disco sólido,"2,14 m²","0,685 m²",,"0,32",Eletro-hidráulica,,"10,9 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",567 km,432 km,"10,9 km/l","8,3 km/l",140 mm,Kit de reparo e enchimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,118i,118i,118i-1-6-turbo-2014,118i-1-6-turbo-2014,https://www.fichacompleta.com.br/carros/bmw/118i-1-6-turbo-2014,2026-06-18T14:59:41.555931,Bmw 118i 1.6 Turbo 2014,"7,5 s",222 km/h,,Injeção direta,Turbocompressor,1598 cm³,4 em linha,N13B16,"Duplo no cabeçote, corrente","85,8 mm",77 mm,Longitudinal,Dianteiro,"8,2 kg/cv","54,5 kg/kgfm","106,4 cv/litro",170 cv a 4800 rpm,"10,5:1",,,"16,0 kgfm/litro","25,5 kgfm a 1500 rpm",4,Admissão e escape,Conversor de torque,Automático,ZF 8HP,,8,Traseira,1421 mm,1535 mm,1569 mm,530 kg,4324 mm,2690 mm,1765 mm,1390 kg,360 litros,1200 kg,670 kg,52 litros,103 mm,Disco ventilado,Disco sólido,"2,14 m²","0,685 m²",,"0,32",Eletro-hidráulica,,"10,9 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",567 km,432 km,"10,9 km/l","8,3 km/l",140 mm,Kit de reparo e enchimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,118i,118i,118i-1-6-turbo-2015,118i-1-6-turbo-2015,https://www.fichacompleta.com.br/carros/bmw/118i-1-6-turbo-2015,2026-06-18T14:59:45.993113,Bmw 118i 1.6 Turbo 2015,"7,5 s",222 km/h,,Injeção direta,Turbocompressor,1598 cm³,4 em linha,N13B16,"Duplo no cabeçote, corrente","85,8 mm",77 mm,Longitudinal,Dianteiro,"8,2 kg/cv","54,5 kg/kgfm","106,4 cv/litro",170 cv a 4800 rpm,"10,5:1",,,"16,0 kgfm/litro","25,5 kgfm a 1500 rpm",4,Admissão e escape,Conversor de torque,Automático,ZF 8HP,,8,Traseira,1421 mm,1535 mm,1569 mm,530 kg,4324 mm,2690 mm,1765 mm,1390 kg,360 litros,1200 kg,670 kg,52 litros,103 mm,Disco ventilado,Disco sólido,"2,14 m²","0,685 m²",,"0,32",Eletro-hidráulica,,"10,9 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",567 km,432 km,"10,9 km/l","8,3 km/l",140 mm,Kit de reparo e enchimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,118i,118i,118i-sport-gp-1-5-2020,118i-sport-gp-1-5-2020,https://www.fichacompleta.com.br/carros/bmw/118i-sport-gp-1-5-2020,2026-06-18T14:59:49.597720,Bmw 118i Sport GP 1.5 2020,"8,5 s",211 km/h,Corrente,Injeção direta,Turbocompressor,1499 cm³,3 em linha,B38B15,Duplo no cabeçote,"94,6 mm",82 mm,Transversal,Dianteiro,"9,4 kg/cv","58,9 kg/kgfm","93,4 cv/litro",140 cv,11:1,,,"14,9 kgfm/litro","22,4 kgfm",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,,7,,Dianteira,1434 mm,1565 mm,1565 mm,550 kg,4319 mm,2670 mm,1799 mm,1320 kg,380 litros,1300 kg,695 kg,42 litros,92 mm,Disco ventilado,Disco ventilado,"2,19 m²","0,569 m²","0,26",,Eletro-hidráulica,"11,4 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",563 km,508 km,"13,4 km/l","12,1 km/l",153 mm,Kit de reparo e enchimento,4600 rpm,1480 rpm,,,6500 rpm,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,118i,118i,118i-sport-gp-1-5-2021,118i-sport-gp-1-5-2021,https://www.fichacompleta.com.br/carros/bmw/118i-sport-gp-1-5-2021,2026-06-18T14:59:52.957605,Bmw 118i Sport GP 1.5 2021,"8,5 s",211 km/h,Corrente,Injeção direta,Turbocompressor,1499 cm³,3 em linha,B38B15,Duplo no cabeçote,"94,6 mm",82 mm,Transversal,Dianteiro,"9,4 kg/cv","58,9 kg/kgfm","93,4 cv/litro",140 cv,11:1,,,"14,9 kgfm/litro","22,4 kgfm",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,,7,,Dianteira,1434 mm,1565 mm,1565 mm,550 kg,4319 mm,2670 mm,1799 mm,1320 kg,380 litros,1300 kg,695 kg,42 litros,92 mm,Disco ventilado,Disco ventilado,"2,19 m²","0,569 m²","0,26",,Eletro-hidráulica,"11,4 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",563 km,508 km,"13,4 km/l","12,1 km/l",153 mm,Kit de reparo e enchimento,4600 rpm,1480 rpm,,,6500 rpm,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,118i,118i,118i-sport-gp-1-5-2022,118i-sport-gp-1-5-2022,https://www.fichacompleta.com.br/carros/bmw/118i-sport-gp-1-5-2022,2026-06-18T14:59:58.909695,Bmw 118i Sport GP 1.5 2022,"8,5 s",211 km/h,Corrente,Injeção direta,Turbocompressor,1499 cm³,3 em linha,B38B15,Duplo no cabeçote,"94,6 mm",82 mm,Transversal,Dianteiro,"9,4 kg/cv","58,9 kg/kgfm","93,4 cv/litro",140 cv,11:1,4600 rpm,1480 rpm,"14,9 kgfm/litro","22,4 kgfm",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,,7,,Dianteira,1434 mm,1565 mm,1565 mm,550 kg,4319 mm,2670 mm,1799 mm,1320 kg,380 litros,1300 kg,695 kg,42 litros,92 mm,Disco ventilado,Disco ventilado,"2,19 m²","0,569 m²","0,26",,Eletro-hidráulica,"11,4 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",546 km,483 km,13 km/l,"11,5 km/l",153 mm,Kit de reparo e enchimento,,,,,6500 rpm,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,118i,118i,118i-m-sport-1-5-2023,118i-m-sport-1-5-2023,https://www.fichacompleta.com.br/carros/bmw/118i-m-sport-1-5-2023,2026-06-18T15:00:04.521812,Bmw 118i M Sport 1.5 2023,"8,5 s",211 km/h,Corrente,Injeção direta,Turbocompressor,,3 em linha,B38B15,Duplo no cabeçote,"94,6 mm",82 mm,Transversal,Dianteiro,"9,43 kg/cv","58,9 kg/kgfm","93,4 cv/litro",140 cv,11:1,,,"14,9 kgfm/litro","22,4 kgfm",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,,7,,Dianteira,1434 mm,1565 mm,1565 mm,550 kg,4319 mm,2670 mm,1799 mm,1320 kg,380 litros,1300 kg,695 kg,42 litros,101 mm,Disco ventilado,Disco ventilado,"2,19 m²","0,569 m²","0,26",,Elétrica,"11,4 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",546 km,483 km,13 km/l,"11,5 km/l",153 mm,Kit de reparo e enchimento,4600 rpm,1480 rpm,500 cm³,1499 cm³,6500 rpm,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,118i,118i,118i-sport-gp-1-5-2023,118i-sport-gp-1-5-2023,https://www.fichacompleta.com.br/carros/bmw/118i-sport-gp-1-5-2023,2026-06-18T15:00:12.146229,Bmw 118i Sport GP 1.5 2023,"8,5 s",211 km/h,Corrente,Injeção direta,Turbocompressor,,3 em linha,B38B15,Duplo no cabeçote,"94,6 mm",82 mm,Transversal,Dianteiro,"9,43 kg/cv","58,9 kg/kgfm","93,4 cv/litro",140 cv,11:1,,,"14,9 kgfm/litro","22,4 kgfm",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,,7,,Dianteira,1434 mm,1565 mm,1565 mm,550 kg,4319 mm,2670 mm,1799 mm,1320 kg,380 litros,1300 kg,695 kg,42 litros,92 mm,Disco ventilado,Disco ventilado,"2,19 m²","0,569 m²","0,26",,Elétrica,"11,4 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",546 km,483 km,13 km/l,"11,5 km/l",153 mm,Kit de reparo e enchimento,4600 rpm,1480 rpm,500 cm³,1499 cm³,6500 rpm,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,118i,118i,118i-m-sport-1-5-2024,118i-m-sport-1-5-2024,https://www.fichacompleta.com.br/carros/bmw/118i-m-sport-1-5-2024,2026-06-18T15:00:18.196754,Bmw 118i M Sport 1.5 2024,"8,5 s",211 km/h,Corrente,Injeção direta,Turbocompressor,,3 em linha,B38B15,Duplo no cabeçote,"94,6 mm",82 mm,Transversal,Dianteiro,"9,43 kg/cv","58,9 kg/kgfm","93,4 cv/litro",140 cv,11:1,,,"14,9 kgfm/litro","22,4 kgfm",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,,7,,Dianteira,1434 mm,1565 mm,1565 mm,550 kg,4319 mm,2670 mm,1799 mm,1320 kg,380 litros,1300 kg,695 kg,42 litros,101 mm,Disco ventilado,Disco ventilado,"2,19 m²","0,569 m²","0,26",,Elétrica,"11,4 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",546 km,483 km,13 km/l,"11,5 km/l",153 mm,Kit de reparo e enchimento,4600 rpm,1480 rpm,500 cm³,1499 cm³,6500 rpm,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,118i,118i,118i-sport-gp-1-5-2024,118i-sport-gp-1-5-2024,https://www.fichacompleta.com.br/carros/bmw/118i-sport-gp-1-5-2024,2026-06-18T15:00:21.967365,Bmw 118i Sport GP 1.5 2024,"8,5 s",211 km/h,Corrente,Injeção direta,Turbocompressor,,3 em linha,B38B15,Duplo no cabeçote,"94,6 mm",82 mm,Transversal,Dianteiro,"9,43 kg/cv","58,9 kg/kgfm","93,4 cv/litro",140 cv,11:1,,,"14,9 kgfm/litro","22,4 kgfm",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,,7,,Dianteira,1434 mm,1565 mm,1565 mm,550 kg,4319 mm,2670 mm,1799 mm,1320 kg,380 litros,1300 kg,695 kg,42 litros,92 mm,Disco ventilado,Disco ventilado,"2,19 m²","0,569 m²","0,26",,Elétrica,"11,4 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",546 km,483 km,13 km/l,"11,5 km/l",153 mm,Kit de reparo e enchimento,4600 rpm,1480 rpm,500 cm³,1499 cm³,6500 rpm,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,120i,120i,120i-2-0-at-2005,120i-2-0-at-2005,https://www.fichacompleta.com.br/carros/bmw/120i-2-0-at-2005,2026-06-18T15:00:42.063889,Bmw 120i 2.0 AT 2005,"9,2 s",213 km/h,Corrente,Injeção multiponto,Natural,1995 cm³,4 em linha,N46B20O1,Duplo no cabeçote,90 mm,84 mm,Longitudinal,Dianteiro,"8,5 kg/cv","62,5 kg/kgfm","75,2 cv/litro",150 cv,"10,5:1",6200 rpm,3500 rpm,"10,2 kgfm/litro","20,4 kgfm",4,Admissão e escape,Conversor de torque,Automático,,6,6,Traseira,1430 mm,1484 mm,1497 mm,,4227 mm,2660 mm,1751 mm,1275 kg,330 litros,,,50 litros,107 mm,Disco ventilado,Disco ventilado,"2,13 m²","0,618 m²","0,29","0,29",Hidráulica,"10,7 m","10,7 m","Indep., McPherson",Mola helicoidal,"Indep., multibraço",550 km,335 km,11 km/l,"6,7 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmw,120i,120i,120i-2-0-2006,120i-2-0-2006,https://www.fichacompleta.com.br/carros/bmw/120i-2-0-2006,2026-06-18T15:00:45.533129,Bmw 120i 2.0 2006,"8,7 s",217 km/h,Corrente,Injeção multiponto,Natural,1995 cm³,4 em linha,N46B20O1,Duplo no cabeçote,90 mm,84 mm,Longitudinal,Dianteiro,"8,4 kg/cv","61,8 kg/kgfm","75,2 cv/litro",150 cv,"10,5:1",,,"10,2 kgfm/litro","20,4 kgfm",4,Admissão e escape,Embreagem monodisco a seco,Manual,ZF H,6,,Traseira,1430 mm,1484 mm,1497 mm,500 kg,4227 mm,2660 mm,1751 mm,1260 kg,330 litros,,,50 litros,107 mm,Disco ventilado,Disco ventilado,"2,09 m²","0,648 m²","0,31",,Hidráulica,"10,7 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",560 km,360 km,"11,2 km/l","7,2 km/l",,,6200 rpm,3600 rpm,,,6500 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
