marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__codigo_do_cambio,geral__quantidade_de_marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__torque_especifico,geral__torque_maximo,geral__tuchos,geral__valvulas_por_cilindro,geral__altura,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__assistencia,geral__diametro_minimo_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__altura_minima_do_solo,geral__acionam_do_comando,geral__cilindrada_unitaria,geral__deslocamento,geral__regime_potencia_max,geral__regime_torque_max,geral__viscosidade_do_oleo,geral__marchas,geral__bitola_dianteira,geral__bitola_traseira,geral__cacamba,geral__diametro_de_giro,geral__potencia,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__torque,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__rotacao_maxima,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coeficiente_de_arrasto_cx,geral__coef_de_arrasto_cx,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__variacao_do_comando,geral__estepe,geral__autonomia,geral__capacidade_da_bateria,geral__consumo_eletrico,geral__reboque_sem_freio,geral__angulo_central,geral__angulo_de_entrada,geral__angulo_de_saida,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__reboque_com_freio,geral__travessia_de_agua,geral__inclinacao_lateral_max,geral__rampa_maxima
fiat,147 Pick-up,147-pick-up,147-pick-up-1-050-1979,147-pick-up-1-050-1979,https://www.fichacompleta.com.br/carros/fiat/147-pick-up-1-050-1979,2026-06-15T07:59:46.155914,Fiat 147 Pick-up 1.050 1979,"18,8 s",138 km/h,Embreagem monodisco a seco,Manual,C506,4,Dianteira,Carburador,Natural,1048 cm³,4 em linha,Fiasa,"Único no cabeçote, correia dentada","57,8 mm",76 mm,Transversal,Dianteiro,"13,8 kg/cv","97,4 kg/kgfm","52,5 cv/litro",55 cv a 5800 rpm,"7,4:1","7,4 kgfm/litro","7,8 kgfm a 3800 rpm",Mecânicos,2,1350 mm,350 kg,3627 mm,2225 mm,1545 mm,760 kg,650 litros,38 litros,116 mm,Disco sólido,Tambor,Não assistida,"9,9 m","Independente, McPherson",Feixe de molas semielípticas,"Independente, McPherson",570 km,380 km,15 km/l,10 km/l,140 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,147 Pick-up,147-pick-up,147-pick-up-1-3-1980,147-pick-up-1-3-1980,https://www.fichacompleta.com.br/carros/fiat/147-pick-up-1-3-1980,2026-06-15T07:59:49.002539,Fiat 147 Pick-up 1.3 1980,18 s,140 km/h,Embreagem monodisco a seco,Manual,C506,,Dianteira,Carburador,Natural,,4 em linha,Fiasa,Único no cabeçote,"71,5 mm",76 mm,Transversal,Dianteiro,"12,62 kg/cv","77,8 kg/kgfm","47,0 cv/litro",61 cv,"7,5:1","7,6 kgfm/litro","9,9 kgfm",Mecânicos,2,1350 mm,500 kg,3787 mm,2225 mm,1545 mm,770 kg,,52 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Feixe de molas semielípticas,"Indep., McPherson",686 km,416 km,"13,2 km/l",8 km/l,140 mm,Correia dentada,324 cm³,1297 cm³,5400 rpm,3000 rpm,20W-50 ³,4,1277 mm,1288 mm,825 litros,"9,6 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,147 Pick-up,147-pick-up,147-pick-up-1-3-1981,147-pick-up-1-3-1981,https://www.fichacompleta.com.br/carros/fiat/147-pick-up-1-3-1981,2026-06-15T07:59:52.870153,Fiat 147 Pick-up 1.3 1981,18 s,140 km/h,Embreagem monodisco a seco,Manual,C506,,Dianteira,Carburador,Natural,1297 cm³,4 em linha,Fiasa,Único no cabeçote,"71,5 mm",76 mm,Transversal,Dianteiro,"13,1 kg/cv","80,6 kg/kgfm","47,0 cv/litro",61 cv,"7,5:1","7,6 kgfm/litro","9,9 kgfm",Mecânicos,2,1350 mm,500 kg,3879 mm,2225 mm,1545 mm,798 kg,,53 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Feixe de molas semielípticas,"Indep., McPherson",700 km,424 km,"13,2 km/l",8 km/l,140 mm,Correia dentada,,,5400 rpm,3000 rpm,,4,1278 mm,1288 mm,825 litros,"9,9 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,147 Pick-up,147-pick-up,147-pick-up-1-3-1982,147-pick-up-1-3-1982,https://www.fichacompleta.com.br/carros/fiat/147-pick-up-1-3-1982,2026-06-15T07:59:55.871549,Fiat 147 Pick-up 1.3 1982,18 s,140 km/h,Embreagem monodisco a seco,Manual,C506,,Dianteira,Carburador,Natural,1297 cm³,4 em linha,Fiasa,Único no cabeçote,"71,5 mm",76 mm,Transversal,Dianteiro,"13,1 kg/cv","80,6 kg/kgfm","47,0 cv/litro",,"7,5:1","7,6 kgfm/litro",,Mecânicos,2,1350 mm,500 kg,3879 mm,2225 mm,1545 mm,798 kg,,53 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Feixe de molas semielípticas,"Indep., McPherson",700 km,424 km,"13,2 km/l",8 km/l,140 mm,Correia dentada,,,,,,4,1278 mm,1288 mm,825 litros,"9,9 m",61 cv,5400 rpm,3000 rpm,"9,9 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,147 Pick-up,147-pick-up,147-pick-up-city-1-3-1982,147-pick-up-city-1-3-1982,https://www.fichacompleta.com.br/carros/fiat/147-pick-up-city-1-3-1982,2026-06-15T07:59:58.740942,Fiat 147 Pick-up City 1.3 1982,18 s,140 km/h,Embreagem monodisco a seco,Manual,C506,,Dianteira,Carburador,Natural,1297 cm³,4 em linha,Fiasa,Único no cabeçote,"71,5 mm",76 mm,Transversal,Dianteiro,"13,1 kg/cv","80,6 kg/kgfm","47,0 cv/litro",61 cv,"7,5:1","7,6 kgfm/litro","9,9 kgfm",Mecânicos,2,1350 mm,500 kg,3879 mm,2225 mm,1545 mm,798 kg,,53 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Feixe de molas semielípticas,"Indep., McPherson",700 km,424 km,"13,2 km/l",8 km/l,140 mm,Correia dentada,,,,,,4,1278 mm,1288 mm,825 litros,"9,9 m",,5400 rpm,3000 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,147 Pick-up,147-pick-up,147-pick-up-1-3-1983,147-pick-up-1-3-1983,https://www.fichacompleta.com.br/carros/fiat/147-pick-up-1-3-1983,2026-06-15T08:00:01.667878,Fiat 147 Pick-up 1.3 1983,18 s,140 km/h,Embreagem monodisco a seco,Manual,C506,,Dianteira,Carburador,Natural,1297 cm³,4 em linha,Fiasa,Único no cabeçote,"71,5 mm",76 mm,Transversal,Dianteiro,"13,1 kg/cv","80,6 kg/kgfm","47,0 cv/litro",61 cv,"7,5:1","7,6 kgfm/litro","9,9 kgfm",Mecânicos,2,1350 mm,500 kg,3879 mm,2225 mm,1545 mm,798 kg,,53 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Feixe de molas semielípticas,"Indep., McPherson",700 km,424 km,"13,2 km/l",8 km/l,140 mm,Correia dentada,,,5400 rpm,3000 rpm,,4,1278 mm,1288 mm,825 litros,"9,9 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,147 Pick-up,147-pick-up,147-pick-up-city-1-3-1983,147-pick-up-city-1-3-1983,https://www.fichacompleta.com.br/carros/fiat/147-pick-up-city-1-3-1983,2026-06-15T08:00:05.896518,Fiat 147 Pick-up City 1.3 1983,"15,9 s",140 km/h,Embreagem monodisco a seco,Manual,C506,4,Dianteira,Carburador,Natural,1297 cm³,4 em linha,Fiasa,"Único no cabeçote, correia dentada","71,5 mm",76 mm,Transversal,Dianteiro,"13,1 kg/cv","80,6 kg/kgfm","47,0 cv/litro",61 cv a 5400 rpm,"7,5:1","7,6 kgfm/litro","9,9 kgfm a 3000 rpm",Mecânicos,2,1350 mm,500 kg,3879 mm,2225 mm,1545 mm,798 kg,825 litros,53 litros,116 mm,Disco sólido,Tambor,Não assistida,"9,9 m","Independente, McPherson",Feixe de molas semielípticas,"Independente, McPherson",700 km,424 km,"13,2 km/l",8 km/l,140 mm,,,,,,,,1278 mm,1288 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,147 Pick-up,147-pick-up,147-pick-up-1-3-1984,147-pick-up-1-3-1984,https://www.fichacompleta.com.br/carros/fiat/147-pick-up-1-3-1984,2026-06-15T08:00:09.991947,Fiat 147 Pick-up 1.3 1984,18 s,140 km/h,Embreagem monodisco a seco,Manual,C506,,Dianteira,Carburador,Natural,,4 em linha,Fiasa,Único no cabeçote,"71,5 mm",76 mm,Transversal,Dianteiro,"13,08 kg/cv","80,6 kg/kgfm","47,0 cv/litro",61 cv,"7,5:1","7,6 kgfm/litro","9,9 kgfm",Mecânicos,2,1350 mm,500 kg,3879 mm,2225 mm,1545 mm,798 kg,,53 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Feixe de molas semielípticas,"Indep., McPherson",700 km,424 km,"13,2 km/l",8 km/l,140 mm,Correia dentada,324 cm³,1297 cm³,5400 rpm,3000 rpm,20W-50 ³,4,1278 mm,1288 mm,825 litros,"9,9 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,147 Pick-up,147-pick-up,147-pick-up-city-1-3-1984,147-pick-up-city-1-3-1984,https://www.fichacompleta.com.br/carros/fiat/147-pick-up-city-1-3-1984,2026-06-15T08:00:12.524202,Fiat 147 Pick-up City 1.3 1984,18 s,140 km/h,Embreagem monodisco a seco,Manual,C506,,Dianteira,Carburador,Natural,,4 em linha,Fiasa,Único no cabeçote,"71,5 mm",76 mm,Transversal,Dianteiro,"13,08 kg/cv","80,6 kg/kgfm","47,0 cv/litro",61 cv,"7,5:1","7,6 kgfm/litro","9,9 kgfm",Mecânicos,2,1350 mm,500 kg,3879 mm,2225 mm,1545 mm,798 kg,,53 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Feixe de molas semielípticas,"Indep., McPherson",700 km,424 km,"13,2 km/l",8 km/l,140 mm,Correia dentada,324 cm³,1297 cm³,5400 rpm,3000 rpm,20W-50 ³,4,1278 mm,1288 mm,825 litros,"9,9 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,147 Pick-up,147-pick-up,147-pick-up-city-1-3-1985,147-pick-up-city-1-3-1985,https://www.fichacompleta.com.br/carros/fiat/147-pick-up-city-1-3-1985,2026-06-15T08:00:15.065007,Fiat 147 Pick-up City 1.3 1985,"17,1 s",147 km/h,Embreagem monodisco a seco,Manual,C506,4,Dianteira,Carburador,Natural,1297 cm³,4 em linha,Fiasa,"Único no cabeçote, correia dentada","71,5 mm",76 mm,Transversal,Dianteiro,"13,4 kg/cv","80,1 kg/kgfm","46,3 cv/litro",60 cv a 5200 rpm,"10,6:1","7,7 kgfm/litro",10 kgfm a 2600 rpm,Mecânicos,2,1366 mm,500 kg,3879 mm,2225 mm,1545 mm,801 kg,825 litros,53 litros,116 mm,Disco sólido,Tambor,Não assistida,"9,9 m","Independente, McPherson",Feixe de molas semielípticas,"Independente, McPherson",,,,,140 mm,,,,,,,,1278 mm,1288 mm,,,,,,,583 km,355 km,11 km/l,"6,7 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,147 Pick-up,147-pick-up,147-pick-up-city-1-3-1986,147-pick-up-city-1-3-1986,https://www.fichacompleta.com.br/carros/fiat/147-pick-up-city-1-3-1986,2026-06-15T08:00:19.111054,Fiat 147 Pick-up City 1.3 1986,"17,1 s",147 km/h,Embreagem monodisco a seco,Manual,C506,,Dianteira,Carburador,Natural,1297 cm³,4 em linha,Fiasa,Único no cabeçote,"71,5 mm",76 mm,Transversal,Dianteiro,"13,4 kg/cv","80,1 kg/kgfm","46,3 cv/litro",60 cv,"10,6:1","7,7 kgfm/litro",10 kgfm,Mecânicos,2,1366 mm,500 kg,3879 mm,2225 mm,1545 mm,801 kg,825 litros,53 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Feixe de molas semielípticas,"Indep., McPherson",,,,,140 mm,Correia dentada,,,,,,4,1278 mm,1288 mm,825 litros,"9,9 m",,5200 rpm,2600 rpm,,583 km,355 km,11 km/l,"6,7 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,147 Pick-up,147-pick-up,147-pick-up-city-1-3-1987,147-pick-up-city-1-3-1987,https://www.fichacompleta.com.br/carros/fiat/147-pick-up-city-1-3-1987,2026-06-15T08:00:22.056551,Fiat 147 Pick-up City 1.3 1987,"17,1 s",147 km/h,Embreagem monodisco a seco,Manual,C506,,Dianteira,Carburador,Natural,1297 cm³,4 em linha,Fiasa,Único no cabeçote,"71,5 mm",76 mm,Transversal,Dianteiro,"13,4 kg/cv","80,1 kg/kgfm","46,3 cv/litro",60 cv,"10,6:1","7,7 kgfm/litro",10 kgfm,Mecânicos,2,1366 mm,500 kg,3879 mm,2225 mm,1545 mm,801 kg,,53 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Feixe de molas semielípticas,"Indep., McPherson",,,,,140 mm,Correia dentada,,,5200 rpm,2600 rpm,,4,1278 mm,1288 mm,825 litros,"9,9 m",,,,,583 km,355 km,11 km/l,"6,7 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,147 Pick-up,147-pick-up,147-pick-up-city-1-3-1988,147-pick-up-city-1-3-1988,https://www.fichacompleta.com.br/carros/fiat/147-pick-up-city-1-3-1988,2026-06-15T08:00:26.124816,Fiat 147 Pick-up City 1.3 1988,"17,1 s",147 km/h,Embreagem monodisco a seco,Manual,C506,,Dianteira,Carburador,Natural,1297 cm³,4 em linha,Fiasa,Único no cabeçote,"71,5 mm",76 mm,Transversal,Dianteiro,"13,4 kg/cv","80,1 kg/kgfm","46,3 cv/litro",60 cv,"10,6:1","7,7 kgfm/litro",10 kgfm,Mecânicos,2,1366 mm,500 kg,3879 mm,2225 mm,1545 mm,801 kg,825 litros,53 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Feixe de molas semielípticas,"Indep., McPherson",,,,,140 mm,Correia dentada,,,,,,5,1278 mm,1288 mm,825 litros,"9,9 m",,5200 rpm,2600 rpm,,583 km,355 km,11 km/l,"6,7 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,500,500,500-lounge-1-4-16v-2010,500-lounge-1-4-16v-2010,https://www.fichacompleta.com.br/carros/fiat/500-lounge-1-4-16v-2010,2026-06-15T08:01:36.907043,Fiat 500 Lounge 1.4 16V 2010,"10,5 s",182 km/h,Embreagem monodisco a seco,Manual,C513,6,Dianteira,Injeção multiponto,Natural,1368 cm³,4 em linha,Fire,Duplo no cabeçote,84 mm,72 mm,Transversal,Dianteiro,"9,3 kg/cv","69,4 kg/kgfm","73,1 cv/litro",100 cv a 6000 rpm,"10,8:1","9,8 kgfm/litro","13,4 kgfm a 4250 rpm",Mecânicos,4,1492 mm,320 kg,3546 mm,2300 mm,1627 mm,930 kg,185 litros,35 litros,102 mm,Disco ventilado,Disco sólido,Elétrica,"10,6 m","Independente, McPherson",Mola helicoidal,Eixo de torção,420 km,354 km,12 km/l,"10,1 km/l",125 mm,,,,,,,,1414 mm,1408 mm,,,,,,,,,,,7000 rpm,"2,06 m²","0,670 m²","0,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,500,500,500-lounge-1-4-16v-dualogic-2010,500-lounge-1-4-16v-dualogic-2010,https://www.fichacompleta.com.br/carros/fiat/500-lounge-1-4-16v-dualogic-2010,2026-06-15T08:01:40.710619,Fiat 500 Lounge 1.4 16V Dualogic 2010,"10,5 s",182 km/h,Embreagem monodisco a seco,Automatizado,C513,5,Dianteira,Injeção multiponto,Natural,1368 cm³,4 em linha,Fire,Duplo no cabeçote,84 mm,72 mm,Transversal,Dianteiro,"9,4 kg/cv","69,8 kg/kgfm","73,1 cv/litro",100 cv a 6000 rpm,"10,8:1","9,8 kgfm/litro","13,4 kgfm a 4250 rpm",Mecânicos,4,1492 mm,320 kg,3546 mm,2300 mm,1627 mm,935 kg,185 litros,35 litros,102 mm,Disco ventilado,Disco sólido,Elétrica,"10,6 m","Independente, McPherson",Mola helicoidal,Eixo de torção,420 km,354 km,12 km/l,"10,1 km/l",125 mm,,,,,,,,1414 mm,1408 mm,,,,,,,,,,,7000 rpm,"2,06 m²","0,670 m²","0,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,500,500,500-sport-1-4-16v-2010,500-sport-1-4-16v-2010,https://www.fichacompleta.com.br/carros/fiat/500-sport-1-4-16v-2010,2026-06-15T08:01:43.704690,Fiat 500 Sport 1.4 16V 2010,"10,5 s",182 km/h,Embreagem monodisco a seco,Manual,C513,6,Dianteira,Injeção multiponto,Natural,1368 cm³,4 em linha,Fire,Duplo no cabeçote,84 mm,72 mm,Transversal,Dianteiro,"9,3 kg/cv","69,4 kg/kgfm","73,1 cv/litro",100 cv,"10,8:1","9,8 kgfm/litro","13,4 kgfm",Mecânicos,4,1492 mm,320 kg,3546 mm,2300 mm,1627 mm,930 kg,185 litros,35 litros,102 mm,Disco ventilado,Disco sólido,Elétrica,"10,6 m","Indep., McPherson",Mola helicoidal,Eixo de torção,420 km,354 km,12 km/l,"10,1 km/l",125 mm,,,,,,,6,1414 mm,1408 mm,,"10,6 m",,6000 rpm,4250 rpm,,,,,,7000 rpm,"2,06 m²","0,670 m²","0,325","0,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,500,500,500-sport-1-4-16v-dualogic-2010,500-sport-1-4-16v-dualogic-2010,https://www.fichacompleta.com.br/carros/fiat/500-sport-1-4-16v-dualogic-2010,2026-06-15T08:01:47.003592,Fiat 500 Sport 1.4 16V Dualogic 2010,"10,5 s",182 km/h,Embreagem monodisco a seco,Automatizado,C513,5,Dianteira,Injeção multiponto,Natural,1368 cm³,4 em linha,Fire,Duplo no cabeçote,,,Transversal,Dianteiro,"9,4 kg/cv","69,8 kg/kgfm","73,1 cv/litro",100 cv a 6000 rpm,"10,8:1","9,8 kgfm/litro","13,4 kgfm a 4250 rpm",Mecânicos,4,1492 mm,320 kg,3546 mm,2300 mm,1627 mm,935 kg,185 litros,35 litros,102 mm,Disco ventilado,Disco sólido,Elétrica,"10,6 m","Independente, McPherson",Mola helicoidal,Eixo de torção,420 km,354 km,12 km/l,"10,1 km/l",125 mm,,,,,,,,1414 mm,1408 mm,,,,,,,,,,,7000 rpm,"2,06 m²","0,670 m²","0,325",,84 mm,72 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,500,500,500-cult-1-4-8v-2012,500-cult-1-4-8v-2012,https://www.fichacompleta.com.br/carros/fiat/500-cult-1-4-8v-2012,2026-06-15T08:01:50.559913,Fiat 500 Cult 1.4 8V 2012,"11,8 s",172 km/h,Embreagem monodisco a seco,Manual,C513,5,Dianteira,Injeção multiponto,Natural,1368 cm³,4 em linha,Fire,Único no cabeçote,84 mm,72 mm,Transversal,Dianteiro,"12,1 kg/cv","84,9 kg/kgfm","64,3 cv/litro",88 cv (A) 85 cv (G) a 5750 rpm,"12,35:1","9,1 kgfm/litro","12,5 kgfm (A) 12,4 kgfm (G) a 3500 rpm",Mecânicos,2,1502 mm,320 kg,3546 mm,2300 mm,1627 mm,1061 kg,185 litros,40 litros,102 mm,Disco ventilado,Disco sólido,Elétrica,"9,1 m","Indep., McPherson",Mola helicoidal,Eixo de torção,512 km,440 km,"12,8 km/l",11 km/l,125 mm,Correia dentada,,,,,,5,1411 mm,1407 mm,,"9,1 m",,5750 rpm,3500 rpm,,336 km,288 km,"8,4 km/l","7,2 km/l",6500 rpm,,,,,,,88 cv,85 cv,"12,5 kgfm","12,4 kgfm",Admissão,,,,,,,,,,,,,,,,,,,,,,,,
fiat,500,500,500-cult-1-4-8v-dualogic-2012,500-cult-1-4-8v-dualogic-2012,https://www.fichacompleta.com.br/carros/fiat/500-cult-1-4-8v-dualogic-2012,2026-06-15T08:01:53.503625,Fiat 500 Cult 1.4 8V Dualogic 2012,"11,8 s",172 km/h,Embreagem monodisco a seco,Automatizado,C513,5,Dianteira,Injeção multiponto,Natural,1368 cm³,4 em linha,Fire,Único no cabeçote,84 mm,72 mm,Transversal,Dianteiro,"12,1 kg/cv","85,3 kg/kgfm","64,3 cv/litro",88 cv (A) 85 cv (G) a 5750 rpm,"12,35:1","9,1 kgfm/litro","12,5 kgfm (A) 12,4 kgfm (G) a 3500 rpm",Mecânicos,2,1502 mm,320 kg,3546 mm,2300 mm,1627 mm,1066 kg,185 litros,40 litros,102 mm,Disco ventilado,Disco sólido,Elétrica,"9,1 m","Indep., McPherson",Mola helicoidal,Eixo de torção,512 km,448 km,"12,8 km/l","11,2 km/l",125 mm,Correia dentada,,,,,,5,1411 mm,1407 mm,,"9,1 m",,5750 rpm,3500 rpm,,348 km,308 km,"8,7 km/l","7,7 km/l",6500 rpm,,,,,,,88 cv,85 cv,"12,5 kgfm","12,4 kgfm",Admissão,,,,,,,,,,,,,,,,,,,,,,,,
fiat,500,500,500-lounge-air-1-4-16v-at-2012,500-lounge-air-1-4-16v-at-2012,https://www.fichacompleta.com.br/carros/fiat/500-lounge-air-1-4-16v-at-2012,2026-06-15T08:01:57.165478,Fiat 500 Lounge Air 1.4 16V AT 2012,"12,6 s",179 km/h,Conversor de torque,Automático,AW60T-6F25,6,Dianteira,Injeção multiponto,Natural,1368 cm³,4 em linha,MultiAir,Único no cabeçote,84 mm,72 mm,Transversal,Dianteiro,"10,8 kg/cv","83,7 kg/kgfm","76,8 cv/litro",105 cv,"10,8:1","9,9 kgfm/litro","13,6 kgfm",,4,1502 mm,320 kg,3546 mm,2300 mm,1627 mm,1138 kg,185 litros,40 litros,102 mm,Disco ventilado,Disco sólido,Elétrica,"9,1 m","Indep., McPherson",Mola helicoidal,Eixo de torção,480 km,400 km,12 km/l,10 km/l,125 mm,,,,,,,6,1411 mm,1407 mm,,"9,1 m",,6250 rpm,3850 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,500,500,500-prima-edizione-1-4-16v-2012,500-prima-edizione-1-4-16v-2012,https://www.fichacompleta.com.br/carros/fiat/500-prima-edizione-1-4-16v-2012,2026-06-15T08:02:01.068372,Fiat 500 Prima Edizione 1.4 16V 2012,"10,2 s",183 km/h,Embreagem monodisco a seco,Manual,C513,5,Dianteira,Injeção multiponto,Natural,1368 cm³,4 em linha,MultiAir,Único no cabeçote,84 mm,72 mm,Transversal,Dianteiro,"10,4 kg/cv","80,1 kg/kgfm","76,8 cv/litro",105 cv a 6250 rpm,"10,8:1","9,9 kgfm/litro","13,6 kgfm a 3850 rpm",,4,1502 mm,320 kg,3546 mm,2300 mm,1627 mm,1090 kg,185 litros,40 litros,88 mm,Disco ventilado,Disco sólido,Elétrica,"9,1 m","Independente, McPherson",Mola helicoidal,Eixo de torção,500 km,408 km,"12,5 km/l","10,2 km/l",125 mm,,,,,,,,1411 mm,1407 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,500,500,500-sport-air-1-4-16v-2012,500-sport-air-1-4-16v-2012,https://www.fichacompleta.com.br/carros/fiat/500-sport-air-1-4-16v-2012,2026-06-15T08:02:05.359525,Fiat 500 Sport Air 1.4 16V 2012,"10,2 s",183 km/h,Embreagem monodisco a seco,Manual,C513,5,Dianteira,Injeção multiponto,Natural,1368 cm³,4 em linha,MultiAir,Único no cabeçote,84 mm,72 mm,Transversal,Dianteiro,"10,4 kg/cv","80,1 kg/kgfm","76,8 cv/litro",105 cv,"10,8:1","9,9 kgfm/litro","13,6 kgfm",,4,1502 mm,320 kg,3546 mm,2300 mm,1627 mm,1090 kg,185 litros,40 litros,88 mm,Disco ventilado,Disco sólido,Elétrica,"9,1 m","Indep., McPherson",Mola helicoidal,Eixo de torção,500 km,408 km,"12,5 km/l","10,2 km/l",125 mm,,,,,,,5,1411 mm,1407 mm,,"9,1 m",,6250 rpm,3850 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,500,500,500-sport-air-1-4-16v-at-2012,500-sport-air-1-4-16v-at-2012,https://www.fichacompleta.com.br/carros/fiat/500-sport-air-1-4-16v-at-2012,2026-06-15T08:02:07.913408,Fiat 500 Sport Air 1.4 16V AT 2012,"12,6 s",179 km/h,Conversor de torque,Automático,AW60T-6F25,6,Dianteira,Injeção multiponto,Natural,1368 cm³,4 em linha,MultiAir,Único no cabeçote,84 mm,72 mm,Transversal,Dianteiro,"10,8 kg/cv","83,7 kg/kgfm","76,8 cv/litro",105 cv a 6250 rpm,"10,8:1","9,9 kgfm/litro","13,6 kgfm a 3850 rpm",,4,1502 mm,320 kg,3546 mm,2300 mm,1627 mm,1138 kg,185 litros,40 litros,88 mm,Disco ventilado,Disco sólido,Elétrica,"9,1 m","Independente, McPherson",Mola helicoidal,Eixo de torção,480 km,400 km,12 km/l,10 km/l,125 mm,,,,,,,,1411 mm,1407 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat,500,500,500-cabriolet-1-4-16v-at-2013,500-cabriolet-1-4-16v-at-2013,https://www.fichacompleta.com.br/carros/fiat/500-cabriolet-1-4-16v-at-2013,2026-06-15T08:02:10.335207,Fiat 500 Cabriolet 1.4 16V AT 2013,"12,6 s",179 km/h,Conversor de torque,Automático,AW60T-6F25,6,Dianteira,Injeção multiponto,Natural,1368 cm³,4 em linha,MultiAir,Único no cabeçote,84 mm,72 mm,Transversal,Dianteiro,"11,0 kg/cv","84,8 kg/kgfm","76,8 cv/litro",105 cv,"10,8:1","9,9 kgfm/litro","13,6 kgfm",,4,1497 mm,320 kg,3546 mm,2300 mm,1627 mm,1153 kg,153 litros,40 litros,88 mm,Disco ventilado,Disco sólido,Elétrica,"9,1 m","Indep., McPherson",Mola helicoidal,Eixo de torção,480 km,400 km,12 km/l,10 km/l,125 mm,,,,,,,6,1411 mm,1407 mm,,"9,1 m",,6250 rpm,3850 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
