marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__quantidade_de_marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__variacao_do_comando,geral__altura,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__estepe,geral__traseiros,geral__assistencia,geral__diametro_minimo_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_a,geral__rodoviaria_g,geral__urbana_a,geral__urbana_g,geral__rodoviario_a,geral__rodoviario_g,geral__urbano_a,geral__urbano_g,geral__altura_minima_do_solo,geral__acionam_do_comando,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__regime_potencia_max,geral__regime_torque_max,geral__torque_maximo_a,geral__torque_maximo_g,geral__marchas,geral__diametro_de_giro,geral__cilindrada_unitaria,geral__deslocamento,geral__codigo_do_cambio,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__angulo_de_entrada,geral__angulo_de_saida,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__potencia_a,geral__potencia_g,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__torque_a,geral__torque_g,geral__potencia,geral__potencia_combinada,geral__torque,geral__torque_combinado,geral__tuchos,geral__cacamba,geral__travessia_de_agua,geral__autonomia_eletrica,geral__capacidade_da_bateria,geral__pesopotencia_sistema,geral__pesotorque_sistema,geral__potencia_de_recarga,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__autonomia,geral__bitola_dianteira,geral__bitola_traseira,geral__rampa_maxima,geral__angulo_central,geral__viscosidade_do_oleo,geral__frenagem_1000_kmh,geral__inclinacao_lateral_maxima,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__inclinacao_lateral_max,geral__portamalas_5_lugares,geral__portamalas_7_lugares
chery,Arrizo 5,arrizo-5,arrizo-5-rx-1-5-turbo-2019,arrizo-5-rx-1-5-turbo-2019,https://www.fichacompleta.com.br/carros/chery/arrizo-5-rx-1-5-turbo-2019,2026-06-20T21:27:57.347982,Chery Arrizo 5 RX 1.5 Turbo 2019,"10,8 s",190 km/h,Conversor de torque,CVT,7,Dianteira,Injeção multiponto,Turbocompressor,1499 cm³,4 em linha,SQRE4T15B,"Duplo no cabeçote, corrente","80,5 mm",77 mm,Transversal,Dianteiro,"9,0 kg/cv","69,5 kg/kgfm","100,1 cv/litro",150 cv (A) 147 cv (G) a 5500 rpm,"9,5:1","12,9 kgfm/litro","19,4 kgfm (A) 19,4 kgfm (G) a 4000 rpm",4,Admissão,1487 mm,399 kg,4532 mm,2650 mm,1814 mm,1348 kg,430 litros,48 litros,113 mm,Disco ventilado,125/70 R16,Disco sólido,Elétrica,"11,3 m","Independente, McPherson",Mola helicoidal,Eixo de torção,403 km,581 km,322 km,475 km,"8,4 km/l","12,1 km/l","6,7 km/l","9,9 km/l",129 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Arrizo 5,arrizo-5,arrizo-5-rxt-1-5-turbo-2019,arrizo-5-rxt-1-5-turbo-2019,https://www.fichacompleta.com.br/carros/chery/arrizo-5-rxt-1-5-turbo-2019,2026-06-20T21:27:59.749870,Chery Arrizo 5 RXT 1.5 Turbo 2019,"10,8 s",190 km/h,Conversor de torque,CVT,7,Dianteira,Injeção multiponto,Turbocompressor,1499 cm³,4 em linha,SQRE4T15B,"Duplo no cabeçote, corrente","80,5 mm",77 mm,Transversal,Dianteiro,"9,0 kg/cv","69,5 kg/kgfm","100,1 cv/litro",150 cv (A) 147 cv (G) a 5500 rpm,"9,5:1","12,9 kgfm/litro","19,4 kgfm (A) 19,4 kgfm (G) a 4000 rpm",4,Admissão,1487 mm,399 kg,4532 mm,2650 mm,1814 mm,1348 kg,430 litros,48 litros,103 mm,Disco ventilado,125/70 R16,Disco sólido,Elétrica,"11,3 m","Independente, McPherson",Mola helicoidal,Eixo de torção,403 km,581 km,322 km,475 km,"8,4 km/l","12,1 km/l","6,7 km/l","9,9 km/l",129 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Arrizo 5,arrizo-5,arrizo-5-rx-1-5-turbo-2020,arrizo-5-rx-1-5-turbo-2020,https://www.fichacompleta.com.br/carros/chery/arrizo-5-rx-1-5-turbo-2020,2026-06-20T21:28:04.278046,Chery Arrizo 5 RX 1.5 Turbo 2020,"10,8 s",190 km/h,Conversor de torque,CVT,,Dianteira,Injeção multiponto,Turbocompressor,1499 cm³,4 em linha,SQRE4T15B,Duplo no cabeçote,"80,5 mm",77 mm,Transversal,Dianteiro,"9,0 kg/cv","69,5 kg/kgfm","100,1 cv/litro",,"9,5:1","12,9 kgfm/litro",,4,Admissão,1487 mm,399 kg,4532 mm,2650 mm,1814 mm,1348 kg,430 litros,48 litros,113 mm,Disco ventilado,125/70 R16,Disco sólido,Elétrica,,"Indep., McPherson",Mola helicoidal,Eixo de torção,403 km,581 km,322 km,475 km,"8,4 km/l","12,1 km/l","6,7 km/l","9,9 km/l",129 mm,Corrente,150 cv,147 cv,5500 rpm,4000 rpm,"19,4 kgfm","19,4 kgfm",7,"11,3 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Arrizo 5,arrizo-5,arrizo-5-rxt-1-5-turbo-2020,arrizo-5-rxt-1-5-turbo-2020,https://www.fichacompleta.com.br/carros/chery/arrizo-5-rxt-1-5-turbo-2020,2026-06-20T21:28:07.227384,Chery Arrizo 5 RXT 1.5 Turbo 2020,"10,8 s",190 km/h,Conversor de torque,CVT,,Dianteira,Injeção multiponto,Turbocompressor,1499 cm³,4 em linha,SQRE4T15B,Duplo no cabeçote,"80,5 mm",77 mm,Transversal,Dianteiro,"9,0 kg/cv","69,5 kg/kgfm","100,1 cv/litro",,"9,5:1","12,9 kgfm/litro",,4,Admissão,1487 mm,399 kg,4532 mm,2650 mm,1814 mm,1348 kg,430 litros,48 litros,103 mm,Disco ventilado,125/70 R16,Disco sólido,Elétrica,,"Indep., McPherson",Mola helicoidal,Eixo de torção,403 km,581 km,322 km,475 km,"8,4 km/l","12,1 km/l","6,7 km/l","9,9 km/l",129 mm,Corrente,150 cv,147 cv,5500 rpm,4000 rpm,"19,4 kgfm","19,4 kgfm",7,"11,3 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Arrizo 5,arrizo-5,arrizo-5-rt-1-5-2021,arrizo-5-rt-1-5-2021,https://www.fichacompleta.com.br/carros/chery/arrizo-5-rt-1-5-2021,2026-06-20T21:28:11.098311,Chery Arrizo 5 RT 1.5 2021,"9,9 s",190 km/h,Conversor de torque,CVT,,Dianteira,Injeção multiponto,Turbocompressor,,4 em linha,SQRE4T15B,Duplo no cabeçote,"80,5 mm",77 mm,Transversal,Dianteiro,"9,04 kg/cv","63,4 kg/kgfm","100,1 cv/litro",,"9,5:1","14,3 kgfm/litro",,4,Admissão,1487 mm,391 kg,4532 mm,2650 mm,1814 mm,1356 kg,430 litros,48 litros,113 mm,Disco ventilado,125/70 R16,Disco sólido,Elétrica,,"Indep., McPherson",Mola helicoidal,Eixo de torção,461 km,619 km,365 km,528 km,"9,6 km/l","12,9 km/l","7,6 km/l",11 km/l,129 mm,Corrente,150 cv,147 cv,5500 rpm,4000 rpm,"21,4 kgfm","21,4 kgfm",9,"11,3 m",375 cm³,1499 cm³,CVT25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Arrizo 5,arrizo-5,arrizo-5-rt-1-5-turbo-2021,arrizo-5-rt-1-5-turbo-2021,https://www.fichacompleta.com.br/carros/chery/arrizo-5-rt-1-5-turbo-2021,2026-06-20T21:28:15.984690,Chery Arrizo 5 RT 1.5 Turbo 2021,"9,9 s",190 km/h,Conversor de torque,CVT,,Dianteira,Injeção multiponto,Turbocompressor,1499 cm³,4 em linha,SQRE4T15B,Duplo no cabeçote,"80,5 mm",77 mm,Transversal,Dianteiro,"9,0 kg/cv","63,4 kg/kgfm","100,1 cv/litro",,"9,5:1","14,3 kgfm/litro",,4,Admissão,1487 mm,391 kg,4532 mm,2650 mm,1814 mm,1356 kg,430 litros,48 litros,113 mm,Disco ventilado,125/70 R16,Disco sólido,Elétrica,,"Indep., McPherson",Mola helicoidal,Eixo de torção,461 km,619 km,365 km,528 km,"9,6 km/l","12,9 km/l","7,6 km/l",11 km/l,129 mm,Corrente,150 cv,147 cv,5500 rpm,4000 rpm,"21,4 kgfm","21,4 kgfm",9,"11,3 m",,,CVT25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Arrizo 5,arrizo-5,arrizo-5-rts-1-5-turbo-2021,arrizo-5-rts-1-5-turbo-2021,https://www.fichacompleta.com.br/carros/chery/arrizo-5-rts-1-5-turbo-2021,2026-06-20T21:28:20.254665,Chery Arrizo 5 RTS 1.5 Turbo 2021,"9,9 s",190 km/h,Conversor de torque,CVT,,Dianteira,Injeção multiponto,Turbocompressor,1499 cm³,4 em linha,SQRE4T15B,Duplo no cabeçote,"80,5 mm",77 mm,Transversal,Dianteiro,"9,0 kg/cv","63,4 kg/kgfm","100,1 cv/litro",,"9,5:1","14,3 kgfm/litro",,4,Admissão,1487 mm,391 kg,4532 mm,2650 mm,1814 mm,1356 kg,430 litros,48 litros,103 mm,Disco ventilado,125/70 R16,Disco sólido,Elétrica,,"Indep., McPherson",Mola helicoidal,Eixo de torção,461 km,619 km,365 km,528 km,"9,6 km/l","12,9 km/l","7,6 km/l",11 km/l,129 mm,Corrente,150 cv,147 cv,5500 rpm,4000 rpm,"21,4 kgfm","21,4 kgfm",9,"11,3 m",,,CVT25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Arrizo 5,arrizo-5,arrizo-5-rxs-1-5-turbo-2021,arrizo-5-rxs-1-5-turbo-2021,https://www.fichacompleta.com.br/carros/chery/arrizo-5-rxs-1-5-turbo-2021,2026-06-20T21:28:23.848179,Chery Arrizo 5 RXS 1.5 Turbo 2021,"9,9 s",190 km/h,Conversor de torque,CVT,9,Dianteira,Injeção multiponto,Turbocompressor,1499 cm³,4 em linha,SQRE4T15B,"Duplo no cabeçote, corrente",,,Transversal,Dianteiro,"9,0 kg/cv","63,4 kg/kgfm","100,1 cv/litro",150 cv (A) 147 cv (G) a 5500 rpm,"9,5:1","14,3 kgfm/litro","21,4 kgfm (A) 21,4 kgfm (G) a 4000 rpm",4,Admissão,1487 mm,391 kg,4532 mm,2650 mm,1814 mm,1356 kg,430 litros,48 litros,103 mm,205/50 R17,,205/50 R17,Elétrica,"11,3 m","Independente, McPherson",Mola helicoidal,Eixo de torção,461 km,619 km,365 km,528 km,"9,6 km/l","12,9 km/l","7,6 km/l",11 km/l,,,,,,,,,,,,,CVT25,"80,5 mm",77 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Arrizo 5,arrizo-5,arrizo-5-rxt-1-5-2021,arrizo-5-rxt-1-5-2021,https://www.fichacompleta.com.br/carros/chery/arrizo-5-rxt-1-5-2021,2026-06-20T21:28:27.433745,Chery Arrizo 5 RXT 1.5 2021,"10,8 s",190 km/h,Conversor de torque,CVT,,Dianteira,Injeção multiponto,Turbocompressor,,4 em linha,SQRE4T15B,Duplo no cabeçote,"80,5 mm",77 mm,Transversal,Dianteiro,"8,99 kg/cv","69,5 kg/kgfm","100,1 cv/litro",,"9,5:1","12,9 kgfm/litro",,4,Admissão,1487 mm,399 kg,4532 mm,2650 mm,1814 mm,1348 kg,430 litros,48 litros,103 mm,Disco ventilado,125/70 R16,Disco sólido,Elétrica,,"Indep., McPherson",Mola helicoidal,Eixo de torção,403 km,581 km,322 km,475 km,"8,4 km/l","12,1 km/l","6,7 km/l","9,9 km/l",129 mm,Corrente,150 cv,147 cv,5500 rpm,4000 rpm,"19,4 kgfm","19,4 kgfm",7,"11,3 m",375 cm³,1499 cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Arrizo 6,arrizo-6,arrizo-6-gsx-1-5-turbo-2021,arrizo-6-gsx-1-5-turbo-2021,https://www.fichacompleta.com.br/carros/chery/arrizo-6-gsx-1-5-turbo-2021,2026-06-20T21:29:01.489712,Chery Arrizo 6 GSX 1.5 Turbo 2021,"9,9 s",190 km/h,Conversor de torque,CVT,,Dianteira,Injeção multiponto,Turbocompressor,1499 cm³,4 em linha,SQRE4T15B,Duplo no cabeçote,"80,5 mm",77 mm,Transversal,Dianteiro,"9,1 kg/cv","63,7 kg/kgfm","100,1 cv/litro",,"9,5:1","14,3 kgfm/litro",,4,Admissão,1493 mm,391 kg,4675 mm,2650 mm,1814 mm,1364 kg,570 litros,48 litros,103 mm,Disco ventilado,125/70 R16,Disco sólido,Elétrica,,"Indep., McPherson",Mola helicoidal,Eixo de torção,451 km,638 km,365 km,528 km,"9,4 km/l","13,3 km/l","7,6 km/l",11 km/l,148 mm,Corrente,150 cv,147 cv,5500 rpm,4000 rpm,"21,4 kgfm","21,4 kgfm",9,"11,3 m",,,CVT25,,,"14,8 graus","20,1 graus","2,3 m²","0,644 m²","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Arrizo 6,arrizo-6,arrizo-6-gsx-1-5-turbo-2022,arrizo-6-gsx-1-5-turbo-2022,https://www.fichacompleta.com.br/carros/chery/arrizo-6-gsx-1-5-turbo-2022,2026-06-20T21:29:05.626978,Chery Arrizo 6 GSX 1.5 Turbo 2022,"9,9 s",190 km/h,Conversor de torque,CVT,,Dianteira,Injeção multiponto,Turbocompressor,1499 cm³,4 em linha,SQRE4T15B,Duplo no cabeçote,"80,5 mm",77 mm,Transversal,Dianteiro,"9,1 kg/cv","63,7 kg/kgfm","100,1 cv/litro",,"9,5:1","14,3 kgfm/litro",,4,Admissão,1493 mm,391 kg,4675 mm,2650 mm,1814 mm,1364 kg,570 litros,48 litros,103 mm,Disco ventilado,125/70 R16,Disco sólido,Elétrica,,"Indep., McPherson",Mola helicoidal,Eixo de torção,442 km,643 km,355 km,509 km,"9,2 km/l","13,4 km/l","7,4 km/l","10,6 km/l",148 mm,Corrente,,,,,,,9,"11,3 m",,,CVT25,,,"14,8 graus","20,1 graus","2,3 m²","0,644 m²","0,28",150 cv,147 cv,5500 rpm,4000 rpm,"21,4 kgfm","21,4 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Arrizo 6,arrizo-6,arrizo-6-pro-1-5-turbo-2022,arrizo-6-pro-1-5-turbo-2022,https://www.fichacompleta.com.br/carros/chery/arrizo-6-pro-1-5-turbo-2022,2026-06-20T21:29:09.428229,Chery Arrizo 6 Pro 1.5 Turbo 2022,"9,9 s",190 km/h,Conversor de torque,CVT,,Dianteira,Injeção multiponto,Turbocompressor,1499 cm³,4 em linha,SQRE4T15B,Duplo no cabeçote,"80,5 mm",77 mm,Transversal,Dianteiro,"9,1 kg/cv","63,7 kg/kgfm","100,1 cv/litro",,"9,5:1","14,3 kgfm/litro",,4,Admissão,1493 mm,397 kg,4675 mm,2650 mm,1814 mm,1364 kg,570 litros,48 litros,103 mm,Disco ventilado,125/70 R16,Disco sólido,Elétrica,,"Indep., McPherson",Mola helicoidal,Eixo de torção,442 km,643 km,355 km,509 km,"9,2 km/l","13,4 km/l","7,4 km/l","10,6 km/l",148 mm,Corrente,,,,,,,9,"11,3 m",,,CVT25,,,"14,8 graus","20,1 graus","2,3 m²","0,644 m²","0,28",150 cv,147 cv,5500 rpm,4000 rpm,"21,4 kgfm","21,4 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Arrizo 6,arrizo-6,arrizo-6-pro-1-5-2023,arrizo-6-pro-1-5-2023,https://www.fichacompleta.com.br/carros/chery/arrizo-6-pro-1-5-2023,2026-06-20T21:29:14.052229,Chery Arrizo 6 Pro 1.5 2023,"9,9 s",190 km/h,Conversor de torque,CVT,,Dianteira,Injeção multiponto,Turbocompressor,,4 em linha,SQRE4T15B,Duplo no cabeçote,"80,5 mm",77 mm,Transversal,Dianteiro,"9,09 kg/cv","63,7 kg/kgfm","100,1 cv/litro",,"9,5:1","14,3 kgfm/litro",,4,Admissão,1493 mm,397 kg,4675 mm,2650 mm,1814 mm,1364 kg,570 litros,48 litros,103 mm,Disco ventilado,125/70 R16,Disco sólido,Elétrica,,"Indep., McPherson",Mola helicoidal,Eixo de torção,442 km,643 km,355 km,509 km,"9,2 km/l","13,4 km/l","7,4 km/l","10,6 km/l",148 mm,Corrente,150 cv,147 cv,5500 rpm,4000 rpm,"21,4 kgfm","21,4 kgfm",9,"11,3 m",375 cm³,1499 cm³,CVT25,,,"14,8 graus","20,1 graus","2,3 m²","0,644 m²","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Arrizo 6,arrizo-6,arrizo-6-pro-hybrid-1-5-2023,arrizo-6-pro-hybrid-1-5-2023,https://www.fichacompleta.com.br/carros/chery/arrizo-6-pro-hybrid-1-5-2023,2026-06-20T21:29:16.981340,Chery Arrizo 6 Pro Hybrid 1.5 2023,9 s,190 km/h,Conversor de torque,CVT,,Dianteira,Injeção multiponto,Turbocompressor,,4 em linha,SQRE4T15B,Duplo no cabeçote,"80,5 mm",77 mm,Transversal,Dianteiro,"9,19 kg/cv","64,4 kg/kgfm","100,1 cv/litro",150 cv (A),"9,5:1","14,3 kgfm/litro","21,4 kgfm (A)",4,Admissão,1493 mm,383 kg,4642 mm,2650 mm,1814 mm,1378 kg,405 litros,48 litros,103 mm,Disco ventilado,125/70 R16,Disco sólido,Elétrica,,"Indep., McPherson",Mola helicoidal,Eixo de torção,475 km,648 km,427 km,600 km,"9,9 km/l","13,5 km/l","8,9 km/l","12,5 km/l",148 mm,Corrente,,,5500 rpm,1750 rpm,,,9,"11,3 m",375 cm³,1499 cm³,CVT25,,,"14,8 graus","20,1 graus","2,3 m²","0,644 m²","0,28",,,,,,,10 cv (dianteiro),160 cv,"4,1 kgfm (dianteiro)","25,5 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Arrizo 6,arrizo-6,arrizo-6-pro-hybrid-1-5-2024,arrizo-6-pro-hybrid-1-5-2024,https://www.fichacompleta.com.br/carros/chery/arrizo-6-pro-hybrid-1-5-2024,2026-06-20T21:29:19.766665,Chery Arrizo 6 Pro Hybrid 1.5 2024,9 s,190 km/h,Conversor de torque,CVT,,Dianteira,Injeção multiponto,Turbocompressor,,4 em linha,SQRE4T15B,Duplo no cabeçote,"80,5 mm",77 mm,Transversal,Dianteiro,"9,19 kg/cv","64,4 kg/kgfm","100,1 cv/litro",150 cv (A),"9,5:1","14,3 kgfm/litro","21,4 kgfm (A)",4,Admissão,1493 mm,383 kg,4642 mm,2650 mm,1814 mm,1378 kg,405 litros,48 litros,103 mm,Disco ventilado,125/70 R16,Disco sólido,Elétrica,,"Indep., McPherson",Mola helicoidal,Eixo de torção,475 km,648 km,427 km,600 km,"9,9 km/l","13,5 km/l","8,9 km/l","12,5 km/l",148 mm,Corrente,,,5500 rpm,1750 rpm,,,9,"11,3 m",375 cm³,1499 cm³,CVT25,,,"14,8 graus","20,1 graus","2,3 m²","0,644 m²","0,28",,,,,,,10 cv (dianteiro),160 cv,"4,1 kgfm (dianteiro)","25,5 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Arrizo 6,arrizo-6,arrizo-6-pro-hybrid-1-5-2025,arrizo-6-pro-hybrid-1-5-2025,https://www.fichacompleta.com.br/carros/chery/arrizo-6-pro-hybrid-1-5-2025,2026-06-20T21:29:23.048652,Chery Arrizo 6 Pro Hybrid 1.5 2025,9 s,190 km/h,Conversor de torque,CVT,,Dianteira,Injeção multiponto,Turbocompressor,,4 em linha,SQRE4T15B,Duplo no cabeçote,"80,5 mm",77 mm,Transversal,Dianteiro,"9,19 kg/cv","64,4 kg/kgfm","100,1 cv/litro",150 cv (A),"9,5:1","14,3 kgfm/litro","21,4 kgfm (A)",4,Admissão,1493 mm,383 kg,4642 mm,2650 mm,1814 mm,1378 kg,405 litros,48 litros,103 mm,Disco ventilado,125/70 R16,Disco sólido,Elétrica,,"Indep., McPherson",Mola helicoidal,Eixo de torção,475 km,648 km,427 km,600 km,"9,9 km/l","13,5 km/l","8,9 km/l","12,5 km/l",148 mm,Corrente,,,5500 rpm,1750 rpm,,,9,"11,3 m",375 cm³,1499 cm³,CVT25,,,"14,8 graus","20,1 graus","2,3 m²","0,644 m²","0,28",,,,,,,10 cv (dianteiro),160 cv,"4,1 kgfm (dianteiro)","25,5 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Celer,celer,celer-1-5-2013,celer-1-5-2013,https://www.fichacompleta.com.br/carros/chery/celer-1-5-2013,2026-06-20T21:29:57.470334,Chery Celer 1.5 2013,"13,4 s",160 km/h,Embreagem monodisco a seco,Manual,5,Dianteira,Injeção multiponto,Natural,1496 cm³,4 em linha,SQR477F,Único no cabeçote,"79,52 mm","77,4 mm",Transversal,Dianteiro,"11,1 kg/cv","85,7 kg/kgfm","72,2 cv/litro",108 cv (A) 108 cv (G) a 6000 rpm,"10,5:1","9,4 kgfm/litro",14 kgfm (A) 14 kgfm (G) a 3000 rpm,4,,1492 mm,375 kg,4139 mm,2527 mm,1686 mm,1200 kg,380 litros,50 litros,111 mm,Disco ventilado,,Tambor,Hidráulica,Não informado,"Indep., McPherson",Mola helicoidal,Eixo de torção,345 km,605 km,290 km,460 km,"6,9 km/l","12,1 km/l","5,8 km/l","9,2 km/l",,Correia dentada,108 cv,108 cv,,,14 kgfm,14 kgfm,5,Não informado,,,,,,,,,,,,,6000 rpm,3000 rpm,,,,,,,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Celer,celer,celer-1-5-2014,celer-1-5-2014,https://www.fichacompleta.com.br/carros/chery/celer-1-5-2014,2026-06-20T21:30:02.069617,Chery Celer 1.5 2014,"13,4 s",160 km/h,Embreagem monodisco a seco,Manual,5,Dianteira,Injeção multiponto,Natural,1496 cm³,4 em linha,,"Duplo no cabeçote, corrente","79,52 mm","77,4 mm",Transversal,Dianteiro,"11,1 kg/cv","85,7 kg/kgfm","72,2 cv/litro",108 cv (A) 108 cv (G) a 6000 rpm,"10,5:1","9,4 kgfm/litro",14 kgfm (A) 14 kgfm (G) a 3000 rpm,4,,1492 mm,375 kg,4139 mm,2527 mm,1686 mm,1200 kg,380 litros,50 litros,111 mm,Disco ventilado,,Tambor,Hidráulica,Não informado,"Independente, McPherson",Mola helicoidal,Eixo de torção,345 km,605 km,290 km,460 km,"6,9 km/l","12,1 km/l","5,8 km/l","9,2 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Celer,celer,celer-1-5-2015,celer-1-5-2015,https://www.fichacompleta.com.br/carros/chery/celer-1-5-2015,2026-06-20T21:30:06.660555,Chery Celer 1.5 2015,13 s,175 km/h,Embreagem monodisco a seco,Manual,5,Dianteira,Injeção multiponto,Natural,1496 cm³,4 em linha,,"Duplo no cabeçote, corrente","79,52 mm","77,4 mm",Transversal,Dianteiro,"10,7 kg/cv","78,1 kg/kgfm","75,5 cv/litro",113 cv (A) 109 cv (G) a 6000 rpm,"10,5:1","10,4 kgfm/litro","15,5 kgfm (A) 14,3 kgfm (G) a 4000 rpm",4,,1480 mm,375 kg,4188 mm,2527 mm,1686 mm,1210 kg,380 litros,50 litros,111 mm,Disco ventilado,,Tambor,Hidráulica,Não informado,"Independente, McPherson",Mola helicoidal,Eixo de torção,415 km,605 km,315 km,460 km,"8,3 km/l","12,1 km/l","6,3 km/l","9,2 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Celer,celer,celer-act-1-5-2015,celer-act-1-5-2015,https://www.fichacompleta.com.br/carros/chery/celer-act-1-5-2015,2026-06-20T21:30:10.679699,Chery Celer Act 1.5 2015,13 s,175 km/h,Embreagem monodisco a seco,Manual,5,Dianteira,Injeção multiponto,Natural,1496 cm³,4 em linha,,"Duplo no cabeçote, corrente","79,52 mm","77,4 mm",Transversal,Dianteiro,"10,7 kg/cv","78,1 kg/kgfm","75,5 cv/litro",113 cv (A) 109 cv (G) a 6000 rpm,"10,5:1","10,4 kgfm/litro","15,5 kgfm (A) 14,3 kgfm (G) a 4000 rpm",4,,1480 mm,375 kg,4188 mm,2527 mm,1686 mm,1210 kg,380 litros,50 litros,111 mm,Disco ventilado,,Tambor,Hidráulica,Não informado,"Independente, McPherson",Mola helicoidal,Eixo de torção,415 km,605 km,315 km,460 km,"8,3 km/l","12,1 km/l","6,3 km/l","9,2 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chery,Celer,celer,celer-1-5-2016,celer-1-5-2016,https://www.fichacompleta.com.br/carros/chery/celer-1-5-2016,2026-06-20T21:30:14.527265,Chery Celer 1.5 2016,13 s,175 km/h,Embreagem monodisco a seco,Manual,5,Dianteira,Injeção multiponto,Natural,1496 cm³,4 em linha,,"Duplo no cabeçote, corrente","79,52 mm","77,4 mm",Transversal,Dianteiro,"10,7 kg/cv","78,1 kg/kgfm","75,5 cv/litro",113 cv (A) 109 cv (G) a 6000 rpm,"10,5:1","10,4 kgfm/litro","15,5 kgfm (A) 14,3 kgfm (G) a 4000 rpm",4,,1480 mm,375 kg,4188 mm,2527 mm,1686 mm,1210 kg,380 litros,50 litros,111 mm,Disco ventilado,,Tambor,Hidráulica,Não informado,"Independente, McPherson",Mola helicoidal,Eixo de torção,390 km,570 km,315 km,460 km,"7,8 km/l","11,4 km/l","6,3 km/l","9,2 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
